Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 61.73      0.50     0.50    52590     0.01     0.01  rhs_CNLS::dxdt(doublecomplex *, doublecomplex *, double)
 37.04      0.80     0.30      300     1.00     2.67  rk45_tmpl<doublecomplex >::integrate(void*, double, double)
  1.23      0.81     0.01      294     0.03     0.03  jones_optical::get_change()
  0.00      0.81     0.00      609     0.00     0.00  jones_optical::type() const
  0.00      0.81     0.00      301     0.00     0.00  jones_optical::postprocess(std::map<std::string, item*, std::less<std::string>, std::allocator<std::pair<std::string const, item*> > >&)
  0.00      0.81     0.00      300     0.00     2.67  stable_ode::iterate_system()
  0.00      0.81     0.00      300     0.00     0.00  jones_optical::pre_fft_operations()
  0.00      0.81     0.00      300     0.00     0.00  jones_optical::post_ifft_operations()
  0.00      0.81     0.00      300     0.00     0.00  stable_spectral_pde_1d::post_fft_operations()
  0.00      0.81     0.00      300     0.00     0.00  stable_spectral_pde_1d::pre_ifft_operations()
  0.00      0.81     0.00      300     0.00     0.00  stable_spectral_pde_1d::pre_integration_operations()
  0.00      0.81     0.00      300     0.00     0.00  stable_spectral_pde_1d::post_integration_operations()
  0.00      0.81     0.00      300     0.00     0.00  rk45::integrate(void*, double, double)
  0.00      0.81     0.00      300     0.00     0.00  Eigen::internal::gebp_kernel<doublecomplex , doublecomplex , long, 2, 4, false, false>::operator()(doublecomplex *, long, doublecomplex  const*, doublecomplex  const*, long, long, long, doublecomplex , long, long, long, long, doublecomplex *)
  0.00      0.81     0.00      300     0.00     0.00  void Eigen::internal::computeProductBlockingSizes<doublecomplex , doublecomplex , 1, long>(long&, long&, long&)
  0.00      0.81     0.00      117     0.00     0.00  item::name() const
  0.00      0.81     0.00       50     0.00     0.00  std::_Rb_tree<item*, item*, std::_Identity<item*>, std::less<item*>, std::allocator<item*> >::_M_insert_unique(item* const&)
  0.00      0.81     0.00       32     0.00     0.00  item::setname(std::string)
  0.00      0.81     0.00       29     0.00     0.00  std::list<std::string, std::allocator<std::string> >::remove(std::string const&)
  0.00      0.81     0.00       28     0.00     0.00  variable::set(double)
  0.00      0.81     0.00       27     0.00     0.00  graph::proc_node_deps(graph::graphnode&)
  0.00      0.81     0.00       27     0.00     0.00  graph::_insert(item*)
  0.00      0.81     0.00       27     0.00     0.00  rhs_type<doublecomplex >::~rhs_type()
  0.00      0.81     0.00       25     0.00     0.00  item::create(std::string, engineimp*)
  0.00      0.81     0.00       24     0.00     0.00  variable::inc(double)
  0.00      0.81     0.00       24     0.00     0.00  engineimp::needs_updating(item*)
  0.00      0.81     0.00       24     0.00     0.00  engineimp::item_exists(item*) const
  0.00      0.81     0.00       22     0.00     0.00  item::postprocess(std::map<std::string, item*, std::less<std::string>, std::allocator<std::pair<std::string const, item*> > >&)
  0.00      0.81     0.00       18     0.00     0.00  real8::parse(std::string)
  0.00      0.81     0.00       14     0.00     0.00  real8::retrieve(void*, item*)
  0.00      0.81     0.00       14     0.00     0.00  real8::~real8()
  0.00      0.81     0.00       14     0.00     0.00  real8::dependencies() const
  0.00      0.81     0.00       13     0.00     0.00  item::item()
  0.00      0.81     0.00       12     0.00     0.00  integer::retrieve(void*, item*)
  0.00      0.81     0.00       12     0.00     0.00  std::_Rb_tree<double*, double*, std::_Identity<double*>, std::less<double*>, std::allocator<double*> >::_M_erase(std::_Rb_tree_node<double*>*)
