# Time                      Task   Queued  Running   Hostname Exit   Command
Tue Feb 11 01:23:40 2014: 000075        6     1717   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:23:45 2014: 000070        6     1723   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:23:48 2014: 000101        5     1726   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:23:51 2014: 000068        6     1729   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:04 2014: 000080        6     1742   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:09 2014: 000076        6     1747   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:16 2014: 000115        5     1754   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:16 2014: 000091        6     1754   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:17 2014: 000089        6     1755   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:17 2014: 000067        6     1755   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:25 2014: 000117        5     1763   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:37 2014: 000077        6     1775   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:38 2014: 000049        5     1777   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:44 2014: 000056        5     1783   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:46 2014: 000074        6     1784   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:56 2014: 000019        6     1795   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:24:56 2014: 000085        6     1794   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:05 2014: 000116        5     1803   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:08 2014: 000048        5     1807   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:16 2014: 000035        6     1815   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:18 2014: 000061        5     1817   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:19 2014: 000095        6     1817   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:27 2014: 000037        6     1826   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:28 2014: 000090        6     1826   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:30 2014: 000111        5     1828   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:31 2014: 000082        6     1829   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:37 2014: 000093        6     1835   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:44 2014: 000066        5     1843   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 01:25:48 2014: 000064        5     1847   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
